Applicant,LocationDescription,Address,Photo,FoodItems,Latitude,Longitude,Schedule,Location
The Geez Freeze,18TH ST: DOLORES ST to CHURCH ST (3700 - 3799),3750 18TH ST,,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris,37.7620192,-122.4273064,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00015&ExportPDF=1&Filename=21MFF-00015_schedule.pdf,"(37.76201920035647, -122.42730642251331)"
Datam SF LLC dba Anzu To You,TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599),2535 TAYLOR ST,,Asian Fusion - Japanese Sandwiches/Sliders/Misubi,37.80588535,-122.4159452,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00106&ExportPDF=1&Filename=21MFF-00106_schedule.pdf,"(37.805885350100986, -122.41594524663745)"
Casita Vegana,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188971,-122.4925212,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00105&ExportPDF=1&Filename=21MFF-00105_schedule.pdf,"(37.72188970870838, -122.4925212449949)"
MOMO INNOVATION LLC,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,,Noodles: Meat & Drinks,37.79287075,-122.4007475,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,"(37.792870749741496, -122.4007474940767)"
MOMO INNOVATION LLC,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.79294895,-122.3980986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00089&ExportPDF=1&Filename=21MFF-00089_schedule.pdf,"(37.792948952834664, -122.39809861316652)"
Treats by the Bay LLC,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,37.78924953,-122.4024186,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00094&ExportPDF=1&Filename=21MFF-00094_schedule.pdf,"(37.78924953407508, -122.40241859729358)"
MOMO INNOVATION LLC,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,,Noodles: Meat & Drinks,37.78655805,-122.4010334,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,"(37.7865580501799, -122.40103337534973)"
Treats by the Bay LLC,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,,Prepackaged Kettlecorn,37.78561009,-122.4081548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00093&ExportPDF=1&Filename=21MFF-00093_schedule.pdf,"(37.78561008636915, -122.40815476434545)"
MOMO INNOVATION LLC,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,,Noodles,37.79092151,-122.4001004,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,"(37.79092150726921, -122.4001004237385)"
The Chef Station,10TH ST: FELL ST \ MARKET ST \ POLK ST to STEVENSON ST (1 - 18),8 10TH ST,,South American/Peruvian food,37.77582552,-122.4172496,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0203&ExportPDF=1&Filename=17MFF-0203_schedule.pdf,"(37.7758255197583, -122.41724962664345)"
Treats by the Bay LLC,MARKET ST: DOLORES ST to 14TH ST (2001 - 2065) -- SOUTH --,2029 MARKET ST,,Donuts: Soft Serve Ice Cream: Coffee: Sandwiches: Drinks,37.76831006,-122.4274165,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00092&ExportPDF=1&Filename=21MFF-00092_schedule.pdf,"(37.76831005955339, -122.4274165153556)"
MOMO INNOVATION LLC,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,,Noodles,37.78844616,-122.3986412,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,"(37.78844615690132, -122.3986412420388)"
Treats by the Bay LLC,HOWARD ST: MALDEN ALY to 02ND ST (574 - 599),201 02ND ST,,Prepackaged Kettlecorn,37.78680165,-122.3978716,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00091&ExportPDF=1&Filename=21MFF-00091_schedule.pdf,"(37.78680165059711, -122.39787163500326)"
Zuri Food Facilities,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,,Peruvian Food Served Hot,37.79234639,-122.4023853,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00005&ExportPDF=1&Filename=22MFF-00005_schedule.pdf,"(37.792346385148, -122.40238532279395)"
Zuri Food Facilities,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,,Peruvian Food Served Hot,37.79215055,-122.394,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00006&ExportPDF=1&Filename=22MFF-00006_schedule.pdf,"(37.792150548481686, -122.39399997405945)"
Philz Coffee Truck,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.78938545,-122.4095913,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,"(37.789385451039095, -122.4095912604668)"
Zuri Food Facilities,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,,Peruvian Food Served Hot,37.7830461,-122.3940666,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00004&ExportPDF=1&Filename=22MFF-00004_schedule.pdf,"(37.783046099749996, -122.39406659922962)"
Plaza Garibaldy,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),1 MONTGOMERY ST,,Tacos: burritos: quesadillas,37.78924953,-122.4024186,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00003&ExportPDF=1&Filename=22MFF-00003_schedule.pdf,"(37.78924953407508, -122.40241859729358)"
Philz Coffee Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),401 CALIFORNIA ST,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79279574,-122.4013533,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,"(37.79279574157871, -122.40135328093122)"
BH & MT LLC,16TH ST: SPENCER ST to DOLORES ST (3220 - 3299),3253 16TH ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.76445952,-122.4251614,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.764459521442355, -122.42516137635808)"
"BOWL'D ACAI, LLC.",LARKIN ST: FULTON ST to MCALLISTER ST (200 - 299),200 LARKIN ST,,Acai Bowls: Smoothies: Juices,37.78021548,-122.4160258,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00124&ExportPDF=1&Filename=21MFF-00124_schedule.pdf,"(37.78021548028814, -122.41602577015111)"
BH & MT LLC,GROVE ST: BRODERICK ST to BAKER ST (1400 - 1499),1477 GROVE ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.77529014,-122.4407312,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.77529014231951, -122.4407311621107)"
Philz Coffee Truck,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7962155,-122.4037546,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,"(37.79621549659414, -122.40375455824538)"
Plaza Garibaldy,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,,Tacos: burritos: quesadillas,37.79234639,-122.4023853,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00002&ExportPDF=1&Filename=22MFF-00002_schedule.pdf,"(37.792346385148, -122.40238532279395)"
BH & MT LLC,GROVE ST: SCOTT ST to DIVISADERO ST (1200 - 1299),1265 GROVE ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.77577437,-122.4373316,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.775774368410254, -122.43733160784082)"
"BOWL'D ACAI, LLC.",BATTERY ST: PINE ST to CALIFORNIA ST (100 - 199),111 BATTERY ST,,Acai Bowls: Smoothies: Juices,37.79236679,-122.4001483,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00124&ExportPDF=1&Filename=21MFF-00124_schedule.pdf,"(37.79236678688307, -122.40014830676716)"
BH & MT LLC,PRESIDIO AVE: POST ST to GEARY BLVD (900 - 999),949 PRESIDIO AVE,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.78392207,-122.4467216,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.783922070111466, -122.44672163317198)"
Zuri Food Facilities,MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699),1601 MARIPOSA ST,,Peruvian Food Served Hot,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00006&ExportPDF=1&Filename=22MFF-00006_schedule.pdf,"(0.0, 0.0)"
BH & MT LLC,OTIS ST: GOUGH ST \ MCCOPPIN ST to 13TH ST \ DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST (100 - 199),170 OTIS ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(0.0, 0.0)"
"BOWL'D ACAI, LLC.",MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,,Acai Bowls: Smoothies: Juices,37.79357693,-122.4032299,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00125&ExportPDF=1&Filename=21MFF-00125_schedule.pdf,"(37.79357693326183, -122.40322987670133)"
BH & MT LLC,DOLORES ST: 14TH ST intersection,2001 MARKET ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.76832025,-122.4271106,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.768320249510616, -122.42711064395493)"
Philz Coffee Truck,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7922956,-122.4007069,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,"(37.79229559981873, -122.40070689723306)"
BH & MT LLC,23RD ST: START: 100-699 BLOCK to ILLINOIS ST (100 - 699),401 23RD ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.75503073,-122.3845307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.755030726766726, -122.38453073422282)"
BH & MT LLC,MARKET ST: CHURCH ST to 15TH ST (2101 - 2195) -- SOUTH --,2145 MARKET ST,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.76662477,-122.4295112,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00128&ExportPDF=1&Filename=21MFF-00128_schedule.pdf,"(37.7666247727157, -122.42951117634738)"
"BOWL'D ACAI, LLC.",BUCHANAN ST: NORTH POINT ST to BEACH ST \ LOWER FORT MASON ST \ MARINA BLVD (3700 - 3799),15 MARINA BLVD,,Acai Bowls: Poke Bowls: Smoothies: Juices,37.80457787,-122.4330108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00126&ExportPDF=1&Filename=21MFF-00126_schedule.pdf,"(37.80457786909011, -122.43301077434302)"
Plaza Garibaldy,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),540 HOWARD ST,,Tacos: burritos: quesadillas,37.78795496,-122.3972365,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00003&ExportPDF=1&Filename=22MFF-00003_schedule.pdf,"(37.78795495968584, -122.39723654373122)"
Philz Coffee Truck,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.80457787,-122.4330108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,"(37.80457786909011, -122.43301077434302)"
"Santana ESG, Inc.",SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,37.79048515,-122.4009404,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0122&ExportPDF=1&Filename=17MFF-0122_schedule.pdf,"(37.790485146128, -122.40094044068951)"
May Catering,TREAT AVE: MISTRAL ST to END: 650-699 BLOCK (630 - 699),630 TREAT AVE,,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.75995143,-122.4140497,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,"(37.75995142942794, -122.41404968022418)"
Quan Catering,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1575 BURKE AVE,,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74417845,-122.3867159,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,"(37.744178447375724, -122.38671592975922)"
Liang Bai Ping,PALOU AVE: PALOU AVE to GRIFFITH ST (904 - 999),Assessors Block /Lot,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,"(0.0, 0.0)"
Reecees Soulicious,BAY SHORE BLVD: BAY SHORE BLVD to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.74530891,-122.4034201,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,"(37.74530890865633, -122.40342005999852)"
Mini Mobile Food Catering,FREMONT ST: TRANSBAY HUMP to NATOMA ST (116 - 169),147 FREMONT ST,,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.79018557,-122.3954717,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00041&ExportPDF=1&Filename=19MFF-00041_schedule.pdf,"(37.79018557063344, -122.39547172580944)"
El Alambre,14TH ST: FOLSOM ST to SHOTWELL ST (100 - 150),1800 FOLSOM ST,,Tacos: Burritos: Quesadillas: Tortas,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00007&ExportPDF=1&Filename=22MFF-00007_schedule.pdf,"(37.76785244271805, -122.41610489253189)"
Got Snacks,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL ST (1000 - 1099),1020 03RD ST,,sunflower seeds: crackerjacks: bottled water: peanuts: candy,37.77551014,-122.3909993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00112&ExportPDF=1&Filename=19MFF-00112_schedule.pdf,"(37.77551013804947, -122.39099930600248)"
El Alambre,FRANKLIN ST: MYRTLE ST to GEARY BLVD (1150 - 1199),1188 FRANKLIN ST,,Tacos: Burritos: Quesadillas: Nachos Alambres: Choice of Meat: Carne Asada: Carnitas: Pollo: Al Pastor Camarones,37.78527195,-122.4226036,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00008&ExportPDF=1&Filename=22MFF-00008_schedule.pdf,"(37.785271949066775, -122.42260358516438)"
El Alambre,FRANKLIN ST: OFARRELL ST \ STARR KING WAY to MYRTLE ST (1100 - 1149),1100 FRANKLIN ST,,Tacos: Burritos: Quesadillas: Nachos Alambres: Choice of Meat: Carne Asada: Carnitas: Pollo: Al Pastor Camarones,37.78484603,-122.4225681,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00008&ExportPDF=1&Filename=22MFF-00008_schedule.pdf,"(37.78484602775554, -122.42256813313709)"
El Alambre,SHOTWELL ST: 14TH ST to 15TH ST (1 - 99),1800 FOLSOM ST,,Tacos: Burritos: Quesadillas: Tortas,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00007&ExportPDF=1&Filename=22MFF-00007_schedule.pdf,"(37.76785244271805, -122.41610489253189)"
May Catering,DONNER AVE: START: 1600-1699 BLOCK to 03RD ST (1600 - 1699),1600 DONNER AVE,,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.72400911,-122.3929868,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,"(37.72400910654023, -122.3929867825778)"
Scotch Bonnet,01ST ST: STEVENSON ST to JESSIE ST (21 - 56),50 01ST ST,,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,37.79014907,-122.3986582,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0094&ExportPDF=1&Filename=17MFF-0094_schedule.pdf,"(37.790149073725544, -122.39865818460403)"
May Catering,MISSION CREEK: 05TH ST to 06TH ST (0 - 0),Assessors Block 3810/Lot008,,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.77203911,-122.3959746,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,"(37.77203911352496, -122.39597463158631)"
Mike's Catering,23RD ST: START: 100-699 BLOCK to ILLINOIS ST (100 - 699),435 23RD ST,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.75503073,-122.3845307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,"(37.755030726766726, -122.38453073422282)"
Liang Bai Ping,PALOU AVE: PALOU AVE to GRIFFITH ST (904 - 999),931 PALOU AVE,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72673391,-122.378972,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,"(37.72673391124156, -122.37897200523552)"
"Chairman SF, LLC",02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,,Baos: bowls & drinks,37.78168898,-122.3910618,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00152&ExportPDF=1&Filename=21MFF-00152_schedule.pdf,"(37.78168897534514, -122.39106181728661)"
"Off the Grid Services, LLC",BROADWAY: DAVIS ST to FRONT ST (50 - 99),90 BROADWAY,,everything except for hot dogs,37.79926011,-122.3996179,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00136&ExportPDF=1&Filename=21MFF-00136_schedule.pdf,"(37.799260113502285, -122.39961794865545)"
"San Francisco Street Foods, Inc.",POST ST: KEARNY ST to ROBERT KIRK LN (100 - 140),100 POST ST,,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,37.78923328,-122.4055791,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00147&ExportPDF=1&Filename=21MFF-00147_schedule.pdf,"(37.78923328289614, -122.40557905421024)"
Buenafe,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),901 16TH ST,,Tacos burritos quesadillas tortas pupusas flautas tamales,37.76612469,-122.3954731,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00113&ExportPDF=1&Filename=21MFF-00113_schedule.pdf,"(37.76612469442701, -122.39547306227007)"
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",POST ST: STOCKTON ST to POWELL ST (300 - 399),345 STOCKTON ST,,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,37.78891015,-122.407196,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00110&ExportPDF=1&Filename=21MFF-00110_schedule.pdf,"(37.78891014957045, -122.40719603412224)"
Papalote Inc.,01ST ST: HOWARD ST to TEHAMA ST (200 - 231),505 HOWARD ST,,Mexican; Burritos: Burrito Bowls: Salads,37.78798865,-122.3961007,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00112&ExportPDF=1&Filename=21MFF-00112_schedule.pdf,"(37.78798864899528, -122.39610066847152)"
Buenafe,EVANS AVE: PHELPS ST to QUINT ST (1600 - 1699),750 PHELPS ST,,Tacos: Burritos: Quesadillas: Tortas,37.73944545,-122.393015,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00114&ExportPDF=1&Filename=21MFF-00114_schedule.pdf,"(37.73944545286909, -122.39301498669842)"
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",GEARY ST: STOCKTON ST to POWELL ST (200 - 299),233 GEARY ST,,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,37.7872426,-122.4068797,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00108&ExportPDF=1&Filename=21MFF-00108_schedule.pdf,"(37.787242602596706, -122.40687973821338)"
DO UC US Mobile Catering,MARIN ST: KANSAS ST to HWY 101 N ON RAMP (2500 - 2599),2590 MARIN ST,,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,37.74837583,-122.4032006,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00107&ExportPDF=1&Filename=21MFF-00107_schedule.pdf,"(37.74837582577795, -122.40320062649582)"
"San Francisco Street Foods, Inc.",NEW MONTGOMERY ST: MARKET ST \ MONTGOMERY ST intersection,2 MONTGOMERY ST,,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,37.78939198,-122.4018247,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00143&ExportPDF=1&Filename=21MFF-00143_schedule.pdf,"(37.78939197610272, -122.4018247471207)"
"Off the Grid Services, LLC",BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,,everything except for hot dogs,37.77632715,-122.3917968,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00135&ExportPDF=1&Filename=21MFF-00135_schedule.pdf,"(37.77632714778992, -122.39179682107691)"
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",MISSION ST: 10TH ST to 11TH ST (1400 - 1499),1455 MARKET ST,,Tacos: burritos: soda & juice,37.77522831,-122.4174661,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00117&ExportPDF=1&Filename=21MFF-00117_schedule.pdf,"(37.77522830783405, -122.41746613186956)"
